SolverIterations,BoxType,StackHeightMultiplier,Gravity,BoxDensity,FramesToSleep,FramesToCollapse,AmountThatSlept,SimulationTime
14,BigFlatBox,1.02,8,0.2,0,373.2,0,0.000452
6,Cube,1,9,0.2,0,38,0,0.000436
7,Cube,1,9,0.2,0,41.4,0,0.000444
8,Cube,1,9,0.2,0,40.6,0,0.000443
9,Cube,1,9,0.2,0,45.2,0,0.000452
10,Cube,1,9,0.2,0,44.6,0,0.000486
11,Cube,1,9,0.2,0,47,0,0.000535
12,Cube,1,9,0.2,0,47.6,0,0.000528
13,Cube,1,9,0.2,0,54.4,0,0.000458
14,Cube,1,9,0.2,0,56,0,0.000517
6,FlatBox,1,9,0.2,0,59.2,0,0.000459
7,FlatBox,1,9,0.2,0,59.4,0,0.00046
8,FlatBox,1,9,0.2,0,61,0,0.000465
9,FlatBox,1,9,0.2,0,70.4,0,0.000464
10,FlatBox,1,9,0.2,0,71.4,0,0.000502
11,FlatBox,1,9,0.2,0,81.8,0,0.000392
12,FlatBox,1,9,0.2,0,90.4,0,0.000495
13,FlatBox,1,9,0.2,0,108,0,0.000481
14,FlatBox,1,9,0.2,0,102.8,0,0.000487
6,BigFlatBox,1,9,0.2,0,208.2,0,0.000456
7,BigFlatBox,1,9,0.2,0,229.6,0,0.000488
8,BigFlatBox,1,9,0.2,0,213.2,0,0.000459
9,BigFlatBox,1,9,0.2,0,233.8,0,0.000466
10,BigFlatBox,1,9,0.2,0,240.2,0,0.000466
11,BigFlatBox,1,9,0.2,0,244.4,0,0.000479
12,BigFlatBox,1,9,0.2,0,244.4,0,0.000463
13,BigFlatBox,1,9,0.2,0,290,0,0.000436
14,BigFlatBox,1,9,0.2,0,291.2,0,0.000442
6,Cube,1.01,9,0.2,0,40.8,0,0.000445
7,Cube,1.01,9,0.2,0,41.8,0,0.000445
8,Cube,1.01,9,0.2,0,39.6,0,0.000447
9,Cube,1.01,9,0.2,0,40.6,0,0.000524
10,Cube,1.01,9,0.2,0,51,0,0.000506
11,Cube,1.01,9,0.2,0,44.6,0,0.000437
12,Cube,1.01,9,0.2,0,48.8,0,0.000486
13,Cube,1.01,9,0.2,0,49.6,0,0.000473
14,Cube,1.01,9,0.2,0,54.8,0,0.000456
6,FlatBox,1.01,9,0.2,0,48.4,0,0.000448
7,FlatBox,1.01,9,0.2,0,65.4,0,0.000512
8,FlatBox,1.01,9,0.2,0,70.8,0,0.000446
9,FlatBox,1.01,9,0.2,0,73.8,0,0.000452
10,FlatBox,1.01,9,0.2,0,75.6,0,0.00051
11,FlatBox,1.01,9,0.2,0,83.4,0,0.000459
12,FlatBox,1.01,9,0.2,0,93,0,0.000507
13,FlatBox,1.01,9,0.2,0,90.4,0,0.000492
14,FlatBox,1.01,9,0.2,0,109.2,0,0.000486
6,BigFlatBox,1.01,9,0.2,0,188.4,0,0.00049
7,BigFlatBox,1.01,9,0.2,0,217.4,0,0.00047
8,BigFlatBox,1.01,9,0.2,0,232,0,0.000461
9,BigFlatBox,1.01,9,0.2,0,266.2,0,0.000502
10,BigFlatBox,1.01,9,0.2,0,234.8,0,0.000481
11,BigFlatBox,1.01,9,0.2,0,316.3,0,0.000459
12,BigFlatBox,1.01,9,0.2,0,288.6,0,0.000441
13,BigFlatBox,1.01,9,0.2,0,299.8,0,0.000478
14,BigFlatBox,1.01,9,0.2,0,297.2,0,0.000468
6,Cube,1.02,9,0.2,0,34.1,0,0.000467
7,Cube,1.02,9,0.2,0,38.6,0,0.000455
8,Cube,1.02,9,0.2,0,40,0,0.000451
9,Cube,1.02,9,0.2,0,40.8,0,0.000443
10,Cube,1.02,9,0.2,0,43.1,0,0.0005
11,Cube,1.02,9,0.2,0,49.4,0,0.000481
12,Cube,1.02,9,0.2,0,47.2,0,0.000453
13,Cube,1.02,9,0.2,0,52,0,0.00045
14,Cube,1.02,9,0.2,0,52.4,0,0.000509
6,FlatBox,1.02,9,0.2,0,58.6,0,0.000453
7,FlatBox,1.02,9,0.2,0,56.1,0,0.000522
8,FlatBox,1.02,9,0.2,0,66.6,0,0.000462
9,FlatBox,1.02,9,0.2,0,65.3,0,0.000485
10,FlatBox,1.02,9,0.2,0,82.2,0,0.000498
11,FlatBox,1.02,9,0.2,0,79.3,0,0.000497
12,FlatBox,1.02,9,0.2,0,97.4,0,0.00048
13,FlatBox,1.02,9,0.2,0,93.7,0,0.000471
14,FlatBox,1.02,9,0.2,0,91.4,0,0.000506
6,BigFlatBox,1.02,9,0.2,0,243.6,0,0.000444
7,BigFlatBox,1.02,9,0.2,0,233.8,0,0.000457
8,BigFlatBox,1.02,9,0.2,0,245.7,0,0.000405
9,BigFlatBox,1.02,9,0.2,0,284.4,0,0.000478
10,BigFlatBox,1.02,9,0.2,0,237.1,0,0.000433
11,BigFlatBox,1.02,9,0.2,0,264.8,0,0.000501
12,BigFlatBox,1.02,9,0.2,0,215.9,0,0.000513
13,BigFlatBox,1.02,9,0.2,0,297.2,0,0.000519
14,BigFlatBox,1.02,9,0.2,0,265.8,0,0.000447
6,Cube,1,10,0.2,0,38.6,0,0.000336
7,Cube,1,10,0.2,0,39,0,0.000407
8,Cube,1,10,0.2,0,38.6,0,0.000529
9,Cube,1,10,0.2,0,39.8,0,0.000536
10,Cube,1,10,0.2,0,41.6,0,0.000465
11,Cube,1,10,0.2,0,37,0,0.00046
12,Cube,1,10,0.2,0,46.4,0,0.000459
13,Cube,1,10,0.2,0,43.8,0,0.000548
14,Cube,1,10,0.2,0,51.4,0,0.000476
6,FlatBox,1,10,0.2,0,54.6,0,0.000473
7,FlatBox,1,10,0.2,0,57.4,0,0.000462
8,FlatBox,1,10,0.2,0,55.2,0,0.000465
9,FlatBox,1,10,0.2,0,69.8,0,0.000482
10,FlatBox,1,10,0.2,0,60.8,0,0.000565
11,FlatBox,1,10,0.2,0,67,0,0.000578
12,FlatBox,1,10,0.2,0,75.8,0,0.000477
13,FlatBox,1,10,0.2,0,92,0,0.000475
14,FlatBox,1,10,0.2,0,79.8,0,0.000461
6,BigFlatBox,1,10,0.2,0,218.2,0,0.000454
7,BigFlatBox,1,10,0.2,0,186.6,0,0.000484
8,BigFlatBox,1,10,0.2,0,216.6,0,0.000509
9,BigFlatBox,1,10,0.2,0,191,0,0.000452
10,BigFlatBox,1,10,0.2,0,206,0,0.00045
11,BigFlatBox,1,10,0.2,0,216.2,0,0.00047
12,BigFlatBox,1,10,0.2,0,229.8,0,0.000478
13,BigFlatBox,1,10,0.2,0,219,0,0.000496
14,BigFlatBox,1,10,0.2,0,256.9,0,0.000462
6,Cube,1.01,10,0.2,0,34.4,0,0.000534
7,Cube,1.01,10,0.2,0,35,0,0.000531
8,Cube,1.01,10,0.2,0,40.8,0,0.000463
9,Cube,1.01,10,0.2,0,40,0,0.000461
10,Cube,1.01,10,0.2,0,38.4,0,0.000437
11,Cube,1.01,10,0.2,0,39,0,0.000548
12,Cube,1.01,10,0.2,0,38.6,0,0.000487
13,Cube,1.01,10,0.2,0,41.4,0,0.000462
14,Cube,1.01,10,0.2,0,45.4,0,0.000573
6,FlatBox,1.01,10,0.2,0,50.6,0,0.000493
7,FlatBox,1.01,10,0.2,0,72.6,0,0.000494
8,FlatBox,1.01,10,0.2,0,65.2,0,0.00046
9,FlatBox,1.01,10,0.2,0,66.4,0,0.000499
10,FlatBox,1.01,10,0.2,0,53.4,0,0.0005
11,FlatBox,1.01,10,0.2,0,79.6,0,0.000513
12,FlatBox,1.01,10,0.2,0,85,0,0.000466
13,FlatBox,1.01,10,0.2,0,70.8,0,0.000467
14,FlatBox,1.01,10,0.2,0,95.8,0,0.000534
6,BigFlatBox,1.01,10,0.2,0,180.5,0,0.000495
7,BigFlatBox,1.01,10,0.2,0,203.2,0,0.000492
8,BigFlatBox,1.01,10,0.2,0,244.7,0,0.000493
9,BigFlatBox,1.01,10,0.2,0,203,0,0.000479
10,BigFlatBox,1.01,10,0.2,0,236.3,0,0.000517
11,BigFlatBox,1.01,10,0.2,0,249.8,0,0.000487
12,BigFlatBox,1.01,10,0.2,0,253.8,0,0.000495
13,BigFlatBox,1.01,10,0.2,0,239.2,0,0.000492
14,BigFlatBox,1.01,10,0.2,0,393.3,0,0.000451
6,Cube,1.02,10,0.2,0,37,0,0.000377
7,Cube,1.02,10,0.2,0,40.8,0,0.000548
8,Cube,1.02,10,0.2,0,34.4,0,0.000549
9,Cube,1.02,10,0.2,0,36.8,0,0.000477
10,Cube,1.02,10,0.2,0,40,0,0.00055
11,Cube,1.02,10,0.2,0,39.4,0,0.000466
12,Cube,1.02,10,0.2,0,47,0,0.000537
13,Cube,1.02,10,0.2,0,48.6,0,0.000419
14,Cube,1.02,10,0.2,0,47,0,0.000345
6,FlatBox,1.02,10,0.2,0,45.6,0,0.000461
7,FlatBox,1.02,10,0.2,0,61,0,0.000469
8,FlatBox,1.02,10,0.2,0,60.1,0,0.000481
9,FlatBox,1.02,10,0.2,0,72.4,0,0.000541
10,FlatBox,1.02,10,0.2,0,76.2,0,0.00052
11,FlatBox,1.02,10,0.2,0,67.6,0,0.000544
12,FlatBox,1.02,10,0.2,0,86,0,0.000506
13,FlatBox,1.02,10,0.2,0,87.8,0,0.000454
14,FlatBox,1.02,10,0.2,0,75.3,0,0.000393
6,BigFlatBox,1.02,10,0.2,0,168.6,0,0.000508
7,BigFlatBox,1.02,10,0.2,0,226.8,0,0.000448
8,BigFlatBox,1.02,10,0.2,0,205.4,0,0.000462
9,BigFlatBox,1.02,10,0.2,0,217.5,0,0.000475
10,BigFlatBox,1.02,10,0.2,0,223.8,0,0.000476
11,BigFlatBox,1.02,10,0.2,0,254.8,0,0.000494
12,BigFlatBox,1.02,10,0.2,0,312.2,0,0.000537
13,BigFlatBox,1.02,10,0.2,0,303.3,0,0.000491
14,BigFlatBox,1.02,10,0.2,0,307,0,0.000494
6,Cube,1,6,0.4,0,54.4,0,0.00047
7,Cube,1,6,0.4,0,59,0,0.000503
8,Cube,1,6,0.4,0,59.4,0,0.000549
9,Cube,1,6,0.4,0,84.4,0,0.000511
10,Cube,1,6,0.4,0,69,0,0.000509
11,Cube,1,6,0.4,0,73.2,0,0.000467
